domain,ipv4,ipv6,cname,status,checked_at
luse.co.zm,104.20.41.87,2606:4700:10::6814:2957,,OK,2025-12-13T13:27:12+02:00
lwsc.com.zm,64.23.155.64,,,OK,2025-12-13T13:27:13+02:00
mcdss.gov.zm,154.120.217.134,,,OK,2025-12-13T13:27:14+02:00
mcti.gov.zm,154.120.217.129,,,OK,2025-12-13T13:27:14+02:00
mcz.org.zm,,,,NXDOMAIN,2025-12-13T13:27:16+02:00
mfl.gov.zm,41.215.183.59,,,OK,2025-12-13T13:27:17+02:00
mgee.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:18+02:00
mihud.gov.zm,41.215.183.57,,,OK,2025-12-13T13:27:18+02:00
mim.gov.zm,41.215.183.61,,,OK,2025-12-13T13:27:20+02:00
miningcadastre.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:21+02:00
mlgrd.gov.zm,41.215.183.56,,,OK,2025-12-13T13:27:21+02:00
mlss.gov.zm,196.46.192.28,,,OK,2025-12-13T13:27:22+02:00
mmmd.gov.zm,154.120.217.130,,,OK,2025-12-13T13:27:24+02:00
mod.gov.zm,41.215.183.60,,,OK,2025-12-13T13:27:24+02:00
moe.gov.zm,41.215.183.58,,,OK,2025-12-13T13:27:25+02:00
mofaic.gov.zm,41.215.183.56,,,OK,2025-12-13T13:27:25+02:00
mofnp.gov.zm,41.215.183.55,,,OK,2025-12-13T13:27:26+02:00
moh.gov.zm,41.215.183.82,,,OK,2025-12-13T13:27:27+02:00
mohais.gov.zm,41.215.183.55,,,OK,2025-12-13T13:27:27+02:00
mohe.gov.zm,154.120.217.112,,,OK,2025-12-13T13:27:28+02:00
moj.gov.zm,154.120.217.120,,,OK,2025-12-13T13:27:29+02:00
mot.gov.zm,41.215.183.60,,,OK,2025-12-13T13:27:30+02:00
mota.gov.zm,154.120.217.127,,,OK,2025-12-13T13:27:31+02:00
mots.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:32+02:00
msmed.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:33+02:00
mu.ac.zm,41.63.16.3,,,OK,2025-12-13T13:27:34+02:00
muc.gov.zm,154.120.217.148,,,OK,2025-12-13T13:27:35+02:00
mukuba.ac.zm,,,,NXDOMAIN,2025-12-13T13:27:36+02:00
mwds.gov.zm,41.215.183.61,,,OK,2025-12-13T13:27:36+02:00
mwsc.com.zm,41.216.81.142,,,OK,2025-12-13T13:27:37+02:00
mysa.gov.zm,41.215.183.62,,,OK,2025-12-13T13:27:38+02:00
napsa.co.zm,45.223.103.138,,,OK,2025-12-13T13:27:39+02:00
natsave.co.zm,92.204.218.59,,,OK,2025-12-13T13:27:39+02:00
naz.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:41+02:00
ncz.co.zm,185.151.30.193,,,OK,2025-12-13T13:27:42+02:00
ndolacouncil.gov.zm,165.56.40.98,,,OK,2025-12-13T13:27:43+02:00
nfa.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:45+02:00
nhcc.org.zm,,,,NXDOMAIN,2025-12-13T13:27:46+02:00
nhima.co.zm,45.223.103.110,,,OK,2025-12-13T13:27:46+02:00
nipa.ac.zm,41.63.60.2,,,OK,2025-12-13T13:27:48+02:00
nkwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:27:49+02:00
nor.gov.zm,41.215.183.62,,,OK,2025-12-13T13:27:50+02:00
nrfa.org.zm,165.56.48.28,,,OK,2025-12-13T13:27:51+02:00
nrpc.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:51+02:00
nwasco.org.zm,41.60.188.35,,,OK,2025-12-13T13:27:52+02:00
nwp.gov.zm,,,,NXDOMAIN,2025-12-13T13:27:52+02:00
nwwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:27:53+02:00
offgrid.gov.zm,154.120.217.92,,,OK,2025-12-13T13:27:54+02:00
ovp.gov.zm,41.215.183.59,,,OK,2025-12-13T13:27:55+02:00
pacra.org.zm,102.133.250.161,,,OK,2025-12-13T13:27:56+02:00
parliament.gov.zm,41.77.145.34,,,OK,2025-12-13T13:27:56+02:00
pia.org.zm,,,,NXDOMAIN,2025-12-13T13:27:57+02:00
portal.citizensupport.gov.zm,smartzambia.powerappsportals.com.,smartzambia.powerappsportals.com.,smartzambia.powerappsportals.com,OK,2025-12-13T13:27:57+02:00
portal.zra.org.zm,196.223.29.13,,,OK,2025-12-13T13:27:58+02:00
pspf.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:00+02:00
publicprotector.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:00+02:00
